"function","source_id","name","url","source_kind","status","pii_risk","public_api_signal","interoperability_candidate","recommended_join_key","public_note"
"acopio","acopios-refugios-vercel-app","Acopios-Refugios","https://acopios-refugios.vercel.app","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"refugios","acopios-refugios-vercel-app","Acopios-Refugios","https://acopios-refugios.vercel.app","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"salud","acopios-refugios-vercel-app","Acopios-Refugios","https://acopios-refugios.vercel.app","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"entregas_logistica","acopios-refugios-vercel-app","Acopios-Refugios","https://acopios-refugios.vercel.app","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"danos","aidvenezuela-net","Aid Venezuela (NUEVO)","https://aidvenezuela.net","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"informacion_verificada","aidvenezuela-net","Aid Venezuela (NUEVO)","https://aidvenezuela.net","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"refugios","apoyo-salu-pro","Apoyo Salud","https://apoyo.salu.pro","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"salud","apoyo-salu-pro","Apoyo Salud","https://apoyo.salu.pro","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"danos","app-appcentinela-com","Centinela (NUEVO)","https://app.appcentinela.com","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"donaciones","btc-academiasucab-com-fondo-emergencia-sismo-vzla-2026","Fondo BTC UCAB","https://btc.academiasucab.com/fondo-emergencia-sismo-vzla-2026","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"danos","btc-academiasucab-com-fondo-emergencia-sismo-vzla-2026","Fondo BTC UCAB","https://btc.academiasucab.com/fondo-emergencia-sismo-vzla-2026","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"danos","data-humdata-org","Microsoft AI for Good (HDX) (NUEVO)","https://data.humdata.org","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"datos_api","data-humdata-org","Microsoft AI for Good (HDX) (NUEVO)","https://data.humdata.org","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"necesidades","demanoenmanove-org","De Mano En Mano","https://www.demanoenmanove.org/","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"refugios","demanoenmanove-org","De Mano En Mano","https://www.demanoenmanove.org/","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"salud","demanoenmanove-org","De Mano En Mano","https://www.demanoenmanove.org/","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"informacion_verificada","demanoenmanove-org","De Mano En Mano","https://www.demanoenmanove.org/","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"entregas_logistica","demanoenmanove-org","De Mano En Mano","https://www.demanoenmanove.org/","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"danos","directorio-sismo-netlify-app","Directorio Sismo","https://directorio-sismo.netlify.app/","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"informacion_verificada","directorio-sismo-netlify-app","Directorio Sismo","https://directorio-sismo.netlify.app/","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"personas_desaparecidas","encuentralosvzla-com","Encuentralos VZLA","https://encuentralosvzla.com","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"danos","encuentralosvzla-com","Encuentralos VZLA","https://encuentralosvzla.com","hackathon_sheet","unknown","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"voluntarios","github-comandoconstrucciones-reestructuramos-pwa","Reestructuramos - Inspeccion Estructural Post Sismo","https://app.reestructuramos.com","build4venezuela_analysis","ready_to_use","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"danos","github-comandoconstrucciones-reestructuramos-pwa","Reestructuramos - Inspeccion Estructural Post Sismo","https://app.reestructuramos.com","build4venezuela_analysis","ready_to_use","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"conectividad","github-comandoconstrucciones-reestructuramos-pwa","Reestructuramos - Inspeccion Estructural Post Sismo","https://app.reestructuramos.com","build4venezuela_analysis","ready_to_use","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"informacion_verificada","github-comandoconstrucciones-reestructuramos-pwa","Reestructuramos - Inspeccion Estructural Post Sismo","https://app.reestructuramos.com","build4venezuela_analysis","ready_to_use","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"entregas_logistica","github-comandoconstrucciones-reestructuramos-pwa","Reestructuramos - Inspeccion Estructural Post Sismo","https://app.reestructuramos.com","build4venezuela_analysis","ready_to_use","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"datos_api","github-comandoconstrucciones-reestructuramos-pwa","Reestructuramos - Inspeccion Estructural Post Sismo","https://app.reestructuramos.com","build4venezuela_analysis","ready_to_use","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"necesidades","github-kevinesaa-centraliza-ayuda-venezuela","Centraliza Ayuda","https://kevinesaa.github.io/centraliza-ayuda-venezuela/","build4venezuela_analysis","ready_to_use","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"refugios","github-kevinesaa-centraliza-ayuda-venezuela","Centraliza Ayuda","https://kevinesaa.github.io/centraliza-ayuda-venezuela/","build4venezuela_analysis","ready_to_use","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"salud","github-kevinesaa-centraliza-ayuda-venezuela","Centraliza Ayuda","https://kevinesaa.github.io/centraliza-ayuda-venezuela/","build4venezuela_analysis","ready_to_use","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"danos","github-kevinesaa-centraliza-ayuda-venezuela","Centraliza Ayuda","https://kevinesaa.github.io/centraliza-ayuda-venezuela/","build4venezuela_analysis","ready_to_use","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"entregas_logistica","github-kevinesaa-centraliza-ayuda-venezuela","Centraliza Ayuda","https://kevinesaa.github.io/centraliza-ayuda-venezuela/","build4venezuela_analysis","ready_to_use","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"datos_api","github-kevinesaa-centraliza-ayuda-venezuela","Centraliza Ayuda","https://kevinesaa.github.io/centraliza-ayuda-venezuela/","build4venezuela_analysis","ready_to_use","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"refugios","github-lannahbett-puentevenezuela","Puente Venezuela","https://puentevenezuela.lovable.app/","build4venezuela_analysis","ready_to_use","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"salud","github-lannahbett-puentevenezuela","Puente Venezuela","https://puentevenezuela.lovable.app/","build4venezuela_analysis","ready_to_use","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"entregas_logistica","github-lannahbett-puentevenezuela","Puente Venezuela","https://puentevenezuela.lovable.app/","build4venezuela_analysis","ready_to_use","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"datos_api","github-lannahbett-puentevenezuela","Puente Venezuela","https://puentevenezuela.lovable.app/","build4venezuela_analysis","ready_to_use","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"donaciones","github-luisalejandrocr-aidtrace-rastroayuda","AidTrace | RastroAyuda","https://aidtrace-rastroayuda.vercel.app/","build4venezuela_analysis","ready_to_use","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"necesidades","github-luisalejandrocr-aidtrace-rastroayuda","AidTrace | RastroAyuda","https://aidtrace-rastroayuda.vercel.app/","build4venezuela_analysis","ready_to_use","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"refugios","github-luisalejandrocr-aidtrace-rastroayuda","AidTrace | RastroAyuda","https://aidtrace-rastroayuda.vercel.app/","build4venezuela_analysis","ready_to_use","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"salud","github-luisalejandrocr-aidtrace-rastroayuda","AidTrace | RastroAyuda","https://aidtrace-rastroayuda.vercel.app/","build4venezuela_analysis","ready_to_use","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"voluntarios","github-luisalejandrocr-aidtrace-rastroayuda","AidTrace | RastroAyuda","https://aidtrace-rastroayuda.vercel.app/","build4venezuela_analysis","ready_to_use","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"conectividad","github-luisalejandrocr-aidtrace-rastroayuda","AidTrace | RastroAyuda","https://aidtrace-rastroayuda.vercel.app/","build4venezuela_analysis","ready_to_use","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"informacion_verificada","github-luisalejandrocr-aidtrace-rastroayuda","AidTrace | RastroAyuda","https://aidtrace-rastroayuda.vercel.app/","build4venezuela_analysis","ready_to_use","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"entregas_logistica","github-luisalejandrocr-aidtrace-rastroayuda","AidTrace | RastroAyuda","https://aidtrace-rastroayuda.vercel.app/","build4venezuela_analysis","ready_to_use","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"datos_api","github-luisalejandrocr-aidtrace-rastroayuda","AidTrace | RastroAyuda","https://aidtrace-rastroayuda.vercel.app/","build4venezuela_analysis","ready_to_use","medium","False","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
"acopio","github-nochinxx-venezuela-earthquake-map","💻 Tech / Dev venezuela-earthquake-map (GitHub) https://github.com/nochinxx/venezuela-earthquake-map Heatmap en tiempo real. Agrega reportes de YouTube, X/Twitter e Instagram cada 10 min. Centros de acopio verificados. Directorio 30+ hospitales. Licencia MIT. ✅ Activa ES/EN GitHub","https://github.com/nochinxx/venezuela-earthquake-map","attachment_catalog","tech_dev_venezuela_earthquake_map_github_https_github_com_nochinxx_venezuela_earthquake_map_heatmap_en_tiempo_real_agrega_reportes_de_youtube_x_twitter_e_instagram_cada_10_min_centros_de_acopio_verificados_directorio_30_hospitales_licencia_mit_activa_es_en_github","medium","True","yes","topic + geography + time","Candidata a validacion/conexion por funcion, geografia y tiempo."
